Year,Games,Type,Category,Impact_Level,Label,Host_City,Host_Country,Countries_Involved,Reason,Story,Display_Style
1908,Summer,Natural Disaster,Geographical Calamity,Context,Host city relocated,London,United Kingdom,Italy,Mount Vesuvius eruption strained Italy's finances,"Rome was originally set to host but withdrew after the 1906 Vesuvius eruption drained funds needed for the Games; London stepped in as replacement host.",dashed_line
1914,Both,World War,Wars/Cancellations,High,World War I begins,-,-,Global conflict,Outbreak of WWI halted international sport,"The outbreak of WWI halted all international sporting competition and set the stage for the first cancelled modern Olympics.",shaded_band
1916,Summer,Cancelled,Wars/Cancellations,High,Berlin Games cancelled,Berlin,Germany,World War I,VI Olympiad cancelled due to WWI,"World War I made hosting impossible; many athletes were serving in the military instead of competing. This was the first cancellation of the modern Olympic Games.",shaded_band
1918,Both,World War,Wars/Cancellations,High,World War I ends,-,-,Global conflict,Armistice ends WWI,"The Armistice ended WWI, allowing the Olympic movement to resume planning toward the 1920 Antwerp Games.",shaded_band
1920,Summer,Political Exclusion,Political Events,High,Central Powers excluded,Antwerp,Belgium,"Germany, Austria, Hungary, Bulgaria, Ottoman Empire",Defeated WWI powers not invited to compete,"Following WWI, the defeated Central Powers were barred from competing. The exclusions reflected post-war political tensions rather than athletic performance.",dashed_line
1936,Summer,Political Event,Political Events,Context,Nazi propaganda Games,Berlin,Germany,Germany,Nazi regime used Games as propaganda showcase,"Nazi Germany used the Olympics to showcase its regime to the world. Jesse Owens' victories directly challenged Nazi racial ideology on the world stage.",dashed_line
1939,Both,World War,Wars/Cancellations,High,World War II begins,-,-,Global conflict,Outbreak of WWII halted international sport,"The outbreak of WWII halted international sport for the second time in Olympic history, leading to consecutive Games cancellations.",shaded_band
1940,Summer,Cancelled,Wars/Cancellations,High,Tokyo Games cancelled,Tokyo,Japan,World War II,"XII Olympiad cancelled; originally reassigned to Helsinki, then cancelled","Tokyo relinquished hosting due to war in Asia; Helsinki was named replacement host but WWII forced cancellation before the Games could occur.",shaded_band
1940,Winter,Cancelled,Wars/Cancellations,High,Sapporo Games cancelled,Sapporo,Japan,World War II,V Winter Olympiad cancelled due to WWII,"The Winter Games scheduled for Sapporo were cancelled as WWII escalated across Asia and Europe.",shaded_band
1944,Summer,Cancelled,Wars/Cancellations,High,London Games cancelled,London,United Kingdom,World War II,XIII Olympiad cancelled due to WWII,"As WWII continued, the Olympics were cancelled for a second consecutive edition, marking the longest interruption in Olympic history.",shaded_band
1944,Winter,Cancelled,Wars/Cancellations,High,Cortina d'Ampezzo Games cancelled,Cortina d'Ampezzo,Italy,World War II,V Winter Olympiad (rescheduled) cancelled due to WWII,"The rescheduled Winter Games were cancelled again as WWII persisted across Europe.",shaded_band
1945,Both,World War,Wars/Cancellations,High,World War II ends,-,-,Global conflict,End of WWII; Olympics resume in 1948,"The end of WWII allowed the Olympic movement to resume, with the Games returning in London in 1948 after a 12-year gap.",shaded_band
1948,Summer,Political Exclusion,Political Events,High,Germany & Japan excluded,London,United Kingdom,"Germany, Japan",Excluded due to wartime roles,"The first post-war Games were held under severe austerity. Germany and Japan were excluded because of their roles in WWII.",dashed_line
1956,Summer,Boycott,Boycotts,High,Suez Crisis boycott,Melbourne,Australia,"Egypt, Iraq, Lebanon",Protested the Suez Crisis,"Egypt, Iraq and Lebanon withdrew from Melbourne in protest of the Suez Crisis, marking one of the first major Olympic boycotts.",dashed_line
1956,Summer,Boycott,Boycotts,High,Hungary invasion boycott,Melbourne,Australia,"Netherlands, Spain, Switzerland",Protested Soviet invasion of Hungary,"The Soviet invasion of Hungary triggered boycotts by several European nations, and produced the famous 'Blood in the Water' water polo match.",dashed_line
1956,Summer,Political Dispute,Boycotts,High,China-Taiwan withdrawal,Melbourne,Australia,China,Withdrew after Taiwan allowed to compete as Republic of China,"The People's Republic of China withdrew after Taiwan was permitted to compete, a recognition dispute that continued for decades.",dashed_line
1964,Summer,Boycott,Boycotts,Context,GANEFO boycott,Tokyo,Japan,"Indonesia, North Korea",Athletes barred over rival GANEFO Games participation,"Indonesia and North Korea withdrew after some of their athletes were barred from competing due to participation in the rival GANEFO Games.",dashed_line
1964,Summer,Political Exclusion,Political Events,High,South Africa suspended,Tokyo,Japan,South Africa,Suspended over apartheid policies,"South Africa was suspended over its apartheid policies, reflecting growing international opposition to racial segregation in sport. The ban lasted until apartheid ended.",dashed_line
1968,Summer,Political Violence,Security Events,High,Tlatelolco massacre,Mexico City,Mexico,Mexico,Military crackdown on student protests before Games,"Ten days before the opening ceremony, a deadly military crackdown on student protests drew worldwide criticism, though the Games proceeded as scheduled.",dashed_line
1968,Summer,Athlete Activism,Political Events,Context,Black Power salute,Mexico City,Mexico,United States,Athletes protested racial inequality on podium,"Tommie Smith and John Carlos raised fists during the medal ceremony to protest racial inequality, one of the most iconic acts of athlete activism in Olympic history.",dashed_line
1972,Summer,Terrorism,Security Events,High,Munich massacre,Munich,West Germany,"West Germany, Israel, Black September",Israeli athletes taken hostage and killed,"Black September militants took the Israeli team hostage; 11 Israelis and 1 police officer were killed. The tragedy permanently transformed Olympic security planning.",dashed_line
1972,Summer,Political Exclusion,Political Events,Context,Rhodesia excluded,Munich,West Germany,Rhodesia,IOC withdrew invitation after protests,"Rhodesia's invitation was withdrawn after African-nation protests over its white-minority rule.",dashed_line
1976,Summer,Boycott,Boycotts,High,African boycott,Montreal,Canada,~28 African nations led by Tanzania,Protested New Zealand's rugby ties to apartheid South Africa,"African nations boycotted after the IOC declined to ban New Zealand over sporting ties with apartheid South Africa, one of the largest coordinated Olympic boycotts.",dashed_line
1976,Summer,Political Dispute,Boycotts,Context,Taiwan withdrawal,Montreal,Canada,Taiwan,Naming/flag dispute with host nation,"Taiwan withdrew separately from the African boycott over a naming and flag dispute with the host nation.",dashed_line
1980,Summer,Boycott,Boycotts,High,US-led boycott,Moscow,Soviet Union,United States and ~65 allied nations,Protested Soviet invasion of Afghanistan,"More than sixty nations, led by the US, boycotted in response to the Soviet invasion of Afghanistan, the largest boycott in Olympic history.",dashed_line
